objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
44,Commuter Rail,750,FrontRunner,February,2017,SAT,South Jordan Station,FR198023,FR198023,233.900000000000006,218.083333300000021
45,Commuter Rail,750,FrontRunner,February,2017,SAT,North Temple Station,FR198030,FR198030,815.716666700000019,756.666666700000064
46,Commuter Rail,750,FrontRunner,February,2017,WKD,Pleasant View Station,FR601083,FR601083,35.409700720000004,37.640993610000002
47,Commuter Rail,750,FrontRunner,February,2017,SAT,Roy Station,FR601085,FR601085,205.133333300000004,201.466666699999990
48,Commuter Rail,750,FrontRunner,February,2017,WKD,Lehi Station,FR801159,FR801159,1145.976607999999942,1071.258849000000055
49,Commuter Rail,750,FrontRunner,February,2017,WKD,Farmington Station,FR301084,FR301084,489.813545599999998,470.433515699999987
50,Commuter Rail,750,FrontRunner,February,2017,WKD,Roy Station,FR601085,FR601085,452.670035400000017,433.555728699999975
51,Commuter Rail,750,FrontRunner,February,2017,SAT,Orem Central Station,FR801163,FR801163,471.949999999999989,431.066666699999985
52,Commuter Rail,750,FrontRunner,February,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1992.270931000000019,2271.629086999999799
53,Commuter Rail,750,FrontRunner,February,2017,WKD,Draper Station,FR198022,FR198022,778.932024299999966,748.956393800000001
54,Commuter Rail,750,FrontRunner,February,2017,SAT,Clearfield Station,FR301081,FR301081,308.566666699999985,295.449999999999989
55,Commuter Rail,750,FrontRunner,February,2017,WKD,Provo Central Station,FR801164,FR801164,1751.947409999999991,1723.272026999999980
56,Commuter Rail,750,FrontRunner,February,2017,WKD,South Jordan Station,FR198023,FR198023,826.613510000000019,818.559475300000031
57,Commuter Rail,750,FrontRunner,February,2017,SAT,American Fork Station,FR801160,FR801160,281.383333300000004,246.366666699999996
58,Commuter Rail,750,FrontRunner,February,2017,SAT,Murray Central Station,FR198021,FR198021,666.516666700000087,629.799999999999955
59,Commuter Rail,750,FrontRunner,February,2017,WKD,Layton Station,FR301082,FR301082,763.208743000000027,724.331785299999979
60,Commuter Rail,750,FrontRunner,February,2017,WKD,Woods Cross Station,FR301085,FR301085,597.297128799999996,548.750616699999910
61,Commuter Rail,750,FrontRunner,February,2017,SAT,Farmington Station,FR301084,FR301084,290.783333299999981,277.433333299999958
62,Commuter Rail,750,FrontRunner,February,2017,SAT,Layton Station,FR301082,FR301082,315.716666700000019,290.533333299999981
63,Commuter Rail,750,FrontRunner,March,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1313.916666999999961,1284.333333000000039
64,Commuter Rail,750,FrontRunner,March,2017,WKD,Roy Station,FR601085,FR601085,470.871019399999966,452.859175700000037
65,Commuter Rail,750,FrontRunner,March,2017,WKD,American Fork Station,FR801160,FR801160,884.983629300000075,819.190993900000080
66,Commuter Rail,750,FrontRunner,March,2017,SAT,Farmington Station,FR301084,FR301084,387.000000000000000,358.750000000000000
67,Commuter Rail,750,FrontRunner,March,2017,SAT,Draper Station,FR198022,FR198022,180.833333300000021,168.500000000000000
68,Commuter Rail,750,FrontRunner,March,2017,SAT,North Temple Station,FR198030,FR198030,1042.250000000000000,1062.333333000000039
69,Commuter Rail,750,FrontRunner,March,2017,SAT,Lehi Station,FR801159,FR801159,322.416666700000007,320.250000000000000
70,Commuter Rail,750,FrontRunner,March,2017,WKD,Clearfield Station,FR301081,FR301081,835.603427799999963,794.034049900000014
71,Commuter Rail,750,FrontRunner,March,2017,WKD,Woods Cross Station,FR301085,FR301085,584.468159800000080,551.441215899999975
72,Commuter Rail,750,FrontRunner,March,2017,WKD,Pleasant View Station,FR601083,FR601083,35.892567389999996,39.496583850000000
73,Commuter Rail,750,FrontRunner,March,2017,SAT,Layton Station,FR301082,FR301082,367.583333299999993,356.583333299999993
74,Commuter Rail,750,FrontRunner,March,2017,SAT,Clearfield Station,FR301081,FR301081,394.750000000000000,371.583333299999993
75,Commuter Rail,750,FrontRunner,March,2017,WKD,Farmington Station,FR301084,FR301084,508.031738399999995,499.935027300000002
76,Commuter Rail,750,FrontRunner,March,2017,WKD,Layton Station,FR301082,FR301082,758.403189699999984,726.323781300000064
77,Commuter Rail,750,FrontRunner,March,2017,SAT,Orem Central Station,FR801163,FR801163,521.416666700000064,463.166666700000007
78,Commuter Rail,750,FrontRunner,March,2017,WKD,Ogden Central Station,FR601084,FR601084,1323.083493999999973,1509.132333999999901
79,Commuter Rail,750,FrontRunner,March,2017,WKD,North Temple Station,FR198030,FR198030,2570.351627999999891,2524.234203999999863
80,Commuter Rail,750,FrontRunner,March,2017,WKD,South Jordan Station,FR198023,FR198023,773.709597900000063,765.984343599999988
81,Commuter Rail,750,FrontRunner,March,2017,SAT,American Fork Station,FR801160,FR801160,389.416666700000007,333.583333299999993
82,Commuter Rail,750,FrontRunner,March,2017,WKD,Draper Station,FR198022,FR198022,741.468958100000009,727.319568899999922
83,Commuter Rail,750,FrontRunner,March,2017,WKD,Lehi Station,FR801159,FR801159,1117.056777000000011,1058.264016999999967
84,Commuter Rail,750,FrontRunner,March,2017,WKD,Orem Central Station,FR801163,FR801163,1346.728048000000172,1237.183545000000095
