objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
34,Commuter Rail,750,FrontRunner,2,2017,WKD,Ogden Central Station,FR601084,FR601084,1301.481994,1466.830306
51,Commuter Rail,750,FrontRunner,2,2017,SAT,Orem Central Station,FR801163,FR801163,471.95,431.0666667
38,Commuter Rail,750,FrontRunner,2,2017,WKD,Orem Central Station,FR801163,FR801163,1481.715985,1391.030742
46,Commuter Rail,750,FrontRunner,2,2017,WKD,Pleasant View Station,FR601083,FR601083,35.40970072,37.64099361
37,Commuter Rail,750,FrontRunner,2,2017,SAT,Provo Central Station,FR801164,FR801164,992.9333333,1141.183333
55,Commuter Rail,750,FrontRunner,2,2017,WKD,Provo Central Station,FR801164,FR801164,1751.94741,1723.272027
47,Commuter Rail,750,FrontRunner,2,2017,SAT,Roy Station,FR601085,FR601085,205.1333333,201.4666667
50,Commuter Rail,750,FrontRunner,2,2017,WKD,Roy Station,FR601085,FR601085,452.6700354,433.5557287
42,Commuter Rail,750,FrontRunner,2,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1060.833333,1111.7
52,Commuter Rail,750,FrontRunner,2,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1992.270931,2271.629087
44,Commuter Rail,750,FrontRunner,2,2017,SAT,South Jordan Station,FR198023,FR198023,233.9,218.0833333
56,Commuter Rail,750,FrontRunner,2,2017,WKD,South Jordan Station,FR198023,FR198023,826.61351,818.5594753
39,Commuter Rail,750,FrontRunner,2,2017,SAT,Woods Cross Station,FR301085,FR301085,228.4,214.3333333
60,Commuter Rail,750,FrontRunner,2,2017,WKD,Woods Cross Station,FR301085,FR301085,597.2971288,548.7506167
81,Commuter Rail,750,FrontRunner,3,2017,SAT,American Fork Station,FR801160,FR801160,389.4166667,333.5833333
65,Commuter Rail,750,FrontRunner,3,2017,WKD,American Fork Station,FR801160,FR801160,884.9836293,819.1909939
74,Commuter Rail,750,FrontRunner,3,2017,SAT,Clearfield Station,FR301081,FR301081,394.75,371.5833333
70,Commuter Rail,750,FrontRunner,3,2017,WKD,Clearfield Station,FR301081,FR301081,835.6034278,794.0340499
67,Commuter Rail,750,FrontRunner,3,2017,SAT,Draper Station,FR198022,FR198022,180.8333333,168.5
82,Commuter Rail,750,FrontRunner,3,2017,WKD,Draper Station,FR198022,FR198022,741.4689581,727.3195689
66,Commuter Rail,750,FrontRunner,3,2017,SAT,Farmington Station,FR301084,FR301084,387,358.75
75,Commuter Rail,750,FrontRunner,3,2017,WKD,Farmington Station,FR301084,FR301084,508.0317384,499.9350273
73,Commuter Rail,750,FrontRunner,3,2017,SAT,Layton Station,FR301082,FR301082,367.5833333,356.5833333
76,Commuter Rail,750,FrontRunner,3,2017,WKD,Layton Station,FR301082,FR301082,758.4031897,726.3237813
69,Commuter Rail,750,FrontRunner,3,2017,SAT,Lehi Station,FR801159,FR801159,322.4166667,320.25
83,Commuter Rail,750,FrontRunner,3,2017,WKD,Lehi Station,FR801159,FR801159,1117.056777,1058.264017
85,Commuter Rail,750,FrontRunner,3,2017,SAT,Murray Central Station,FR198021,FR198021,729.75,716
91,Commuter Rail,750,FrontRunner,3,2017,WKD,Murray Central Station,FR198021,FR198021,1755.666222,1774.251569
68,Commuter Rail,750,FrontRunner,3,2017,SAT,North Temple Station,FR198030,FR198030,1042.25,1062.333333
79,Commuter Rail,750,FrontRunner,3,2017,WKD,North Temple Station,FR198030,FR198030,2570.351628,2524.234204
86,Commuter Rail,750,FrontRunner,3,2017,SAT,Ogden Central Station,FR601084,FR601084,1080.833333,1136.5
78,Commuter Rail,750,FrontRunner,3,2017,WKD,Ogden Central Station,FR601084,FR601084,1323.083494,1509.132334
77,Commuter Rail,750,FrontRunner,3,2017,SAT,Orem Central Station,FR801163,FR801163,521.4166667,463.1666667
84,Commuter Rail,750,FrontRunner,3,2017,WKD,Orem Central Station,FR801163,FR801163,1346.728048,1237.183545
72,Commuter Rail,750,FrontRunner,3,2017,WKD,Pleasant View Station,FR601083,FR601083,35.89256739,39.49658385
87,Commuter Rail,750,FrontRunner,3,2017,SAT,Provo Central Station,FR801164,FR801164,1060,1223.5
92,Commuter Rail,750,FrontRunner,3,2017,WKD,Provo Central Station,FR801164,FR801164,1727.94825,1710.219764
90,Commuter Rail,750,FrontRunner,3,2017,SAT,Roy Station,FR601085,FR601085,280.25,251.75
64,Commuter Rail,750,FrontRunner,3,2017,WKD,Roy Station,FR601085,FR601085,470.8710194,452.8591757
63,Commuter Rail,750,FrontRunner,3,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1313.916667,1284.333333
88,Commuter Rail,750,FrontRunner,3,2017,WKD,Salt Lake Central Station,FR101393,FR101393,2011.598595,2258.206382
89,Commuter Rail,750,FrontRunner,3,2017,SAT,South Jordan Station,FR198023,FR198023,234.3333333,246.6666667
80,Commuter Rail,750,FrontRunner,3,2017,WKD,South Jordan Station,FR198023,FR198023,773.7095979,765.9843436
93,Commuter Rail,750,FrontRunner,3,2017,SAT,Woods Cross Station,FR301085,FR301085,286.5,295.5
71,Commuter Rail,750,FrontRunner,3,2017,WKD,Woods Cross Station,FR301085,FR301085,584.4681598,551.4412159
99,Commuter Rail,750,FrontRunner,4,2017,SAT,American Fork Station,FR801160,FR801160,287.4,268.3
98,Commuter Rail,750,FrontRunner,4,2017,WKD,American Fork Station,FR801160,FR801160,855.2574534,783.7096109
107,Commuter Rail,750,FrontRunner,4,2017,SAT,Clearfield Station,FR301081,FR301081,307,279.2
105,Commuter Rail,750,FrontRunner,4,2017,WKD,Clearfield Station,FR301081,FR301081,769.5627481,730.6164316
123,Commuter Rail,750,FrontRunner,4,2017,SAT,Draper Station,FR198022,FR198022,159.3,163.2
106,Commuter Rail,750,FrontRunner,4,2017,WKD,Draper Station,FR198022,FR198022,722.3458941,705.5711447
121,Commuter Rail,750,FrontRunner,4,2017,SAT,Farmington Station,FR301084,FR301084,405.8,384.2
103,Commuter Rail,750,FrontRunner,4,2017,WKD,Farmington Station,FR301084,FR301084,535.4009774,516.6502997
110,Commuter Rail,750,FrontRunner,4,2017,SAT,Layton Station,FR301082,FR301082,327.9,322.6
111,Commuter Rail,750,FrontRunner,4,2017,WKD,Layton Station,FR301082,FR301082,753.9441667,717.631307
95,Commuter Rail,750,FrontRunner,4,2017,SAT,Lehi Station,FR801159,FR801159,348.8,353.3
117,Commuter Rail,750,FrontRunner,4,2017,WKD,Lehi Station,FR801159,FR801159,1114.391674,1062.134038
108,Commuter Rail,750,FrontRunner,4,2017,SAT,Murray Central Station,FR198021,FR198021,723.4,694.4
102,Commuter Rail,750,FrontRunner,4,2017,WKD,Murray Central Station,FR198021,FR198021,1718.647442,1745.875323
120,Commuter Rail,750,FrontRunner,4,2017,SAT,North Temple Station,FR198030,FR198030,914.1,911.9
112,Commuter Rail,750,FrontRunner,4,2017,WKD,North Temple Station,FR198030,FR198030,2434.491702,2377.775889
97,Commuter Rail,750,FrontRunner,4,2017,SAT,Ogden Central Station,FR601084,FR601084,870.4,893.5
101,Commuter Rail,750,FrontRunner,4,2017,WKD,Ogden Central Station,FR601084,FR601084,1298.480631,1462.159221
122,Commuter Rail,750,FrontRunner,4,2017,SAT,Orem Central Station,FR801163,FR801163,478.3,453.3
104,Commuter Rail,750,FrontRunner,4,2017,WKD,Orem Central Station,FR801163,FR801163,1343.555058,1258.513304
100,Commuter Rail,750,FrontRunner,4,2017,WKD,Pleasant View Station,FR601083,FR601083,35.46607726,32.95177656
119,Commuter Rail,750,FrontRunner,4,2017,SAT,Provo Central Station,FR801164,FR801164,1156.3,1243.5
113,Commuter Rail,750,FrontRunner,4,2017,WKD,Provo Central Station,FR801164,FR801164,1683.426618,1703.868886
116,Commuter Rail,750,FrontRunner,4,2017,SAT,Roy Station,FR601085,FR601085,231.8,196.4
94,Commuter Rail,750,FrontRunner,4,2017,WKD,Roy Station,FR601085,FR601085,439.8121845,422.3019139
114,Commuter Rail,750,FrontRunner,4,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1036.4,1091.2
96,Commuter Rail,750,FrontRunner,4,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1944.067885,2166.871158
124,Commuter Rail,750,FrontRunner,4,2017,SAT,South Jordan Station,FR198023,FR198023,212.7,216.5
109,Commuter Rail,750,FrontRunner,4,2017,WKD,South Jordan Station,FR198023,FR198023,737.7350608,731.7462848
118,Commuter Rail,750,FrontRunner,4,2017,SAT,Woods Cross Station,FR301085,FR301085,246,232.7
115,Commuter Rail,750,FrontRunner,4,2017,WKD,Woods Cross Station,FR301085,FR301085,576.8792058,543.3727586
129,Commuter Rail,750,FrontRunner,5,2017,SAT,American Fork Station,FR801160,FR801160,246.5333333,203.5666667
148,Commuter Rail,750,FrontRunner,5,2017,WKD,American Fork Station,FR801160,FR801160,833.1666855,731.8148615
125,Commuter Rail,750,FrontRunner,5,2017,SAT,Clearfield Station,FR301081,FR301081,266.0666667,255
143,Commuter Rail,750,FrontRunner,5,2017,WKD,Clearfield Station,FR301081,FR301081,747.0835448,712.5270785
142,Commuter Rail,750,FrontRunner,5,2017,SAT,Draper Station,FR198022,FR198022,142.4333333,136.5666667
131,Commuter Rail,750,FrontRunner,5,2017,WKD,Draper Station,FR198022,FR198022,693.8312794,657.9683012
137,Commuter Rail,750,FrontRunner,5,2017,SAT,Farmington Station,FR301084,FR301084,448.5333333,453.1333333
126,Commuter Rail,750,FrontRunner,5,2017,WKD,Farmington Station,FR301084,FR301084,555.8861404,573.4953502
139,Commuter Rail,750,FrontRunner,5,2017,SAT,Layton Station,FR301082,FR301082,276.2666667,264.5333333
130,Commuter Rail,750,FrontRunner,5,2017,WKD,Layton Station,FR301082,FR301082,740.2304099,702.5287959
152,Commuter Rail,750,FrontRunner,5,2017,SAT,Lehi Station,FR801159,FR801159,287.0166667,274.3666667
138,Commuter Rail,750,FrontRunner,5,2017,WKD,Lehi Station,FR801159,FR801159,1114.363314,1016.33521
127,Commuter Rail,750,FrontRunner,5,2017,SAT,Murray Central Station,FR198021,FR198021,634.8333333,600.2333333
135,Commuter Rail,750,FrontRunner,5,2017,WKD,Murray Central Station,FR198021,FR198021,1643.429304,1725.713391
146,Commuter Rail,750,FrontRunner,5,2017,SAT,North Temple Station,FR198030,FR198030,718,656.7333333
136,Commuter Rail,750,FrontRunner,5,2017,WKD,North Temple Station,FR198030,FR198030,2493.373839,2450.652815
132,Commuter Rail,750,FrontRunner,5,2017,SAT,Ogden Central Station,FR601084,FR601084,866.8,825.0666667
149,Commuter Rail,750,FrontRunner,5,2017,WKD,Ogden Central Station,FR601084,FR601084,1188.376683,1364.71481
151,Commuter Rail,750,FrontRunner,5,2017,SAT,Orem Central Station,FR801163,FR801163,364.6666667,358.0666667
154,Commuter Rail,750,FrontRunner,5,2017,WKD,Orem Central Station,FR801163,FR801163,1106.674469,1015.590785
140,Commuter Rail,750,FrontRunner,5,2017,WKD,Pleasant View Station,FR601083,FR601083,39.81173647,35.01534012
150,Commuter Rail,750,FrontRunner,5,2017,SAT,Provo Central Station,FR801164,FR801164,766.5333333,938.3833333
128,Commuter Rail,750,FrontRunner,5,2017,WKD,Provo Central Station,FR801164,FR801164,1690.703624,1738.903147
147,Commuter Rail,750,FrontRunner,5,2017,SAT,Roy Station,FR601085,FR601085,202.7333333,180.5333333
141,Commuter Rail,750,FrontRunner,5,2017,WKD,Roy Station,FR601085,FR601085,429.8750429,422.5270882
144,Commuter Rail,750,FrontRunner,5,2017,SAT,Salt Lake Central Station,FR101393,FR101393,803.9333333,885.1666667
155,Commuter Rail,750,FrontRunner,5,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1828.502504,2033.25041
153,Commuter Rail,750,FrontRunner,5,2017,SAT,South Jordan Station,FR198023,FR198023,192.1333333,183.8666667
133,Commuter Rail,750,FrontRunner,5,2017,WKD,South Jordan Station,FR198023,FR198023,729.0462669,697.8733104
145,Commuter Rail,750,FrontRunner,5,2017,SAT,Woods Cross Station,FR301085,FR301085,220.9333333,217.6
134,Commuter Rail,750,FrontRunner,5,2017,WKD,Woods Cross Station,FR301085,FR301085,593.8603371,556.4961122
175,Commuter Rail,750,FrontRunner,6,2017,SAT,American Fork Station,FR801160,FR801160,299.0833333,285.6666667
168,Commuter Rail,750,FrontRunner,6,2017,WKD,American Fork Station,FR801160,FR801160,829.6051399,749.8632827
165,Commuter Rail,750,FrontRunner,6,2017,SAT,Clearfield Station,FR301081,FR301081,300.1666667,271.0833333
183,Commuter Rail,750,FrontRunner,6,2017,WKD,Clearfield Station,FR301081,FR301081,731.6910265,669.2189705
162,Commuter Rail,750,FrontRunner,6,2017,SAT,Draper Station,FR198022,FR198022,151.3333333,135.8333333
179,Commuter Rail,750,FrontRunner,6,2017,WKD,Draper Station,FR198022,FR198022,720.8099816,696.3394794
178,Commuter Rail,750,FrontRunner,6,2017,SAT,Farmington Station,FR301084,FR301084,525.6666667,543.4166667
185,Commuter Rail,750,FrontRunner,6,2017,WKD,Farmington Station,FR301084,FR301084,760.739143,752.061568
159,Commuter Rail,750,FrontRunner,6,2017,SAT,Layton Station,FR301082,FR301082,339.25,312.75
156,Commuter Rail,750,FrontRunner,6,2017,WKD,Layton Station,FR301082,FR301082,760.7514176,705.6168284
158,Commuter Rail,750,FrontRunner,6,2017,SAT,Lehi Station,FR801159,FR801159,307,301.3333333
180,Commuter Rail,750,FrontRunner,6,2017,WKD,Lehi Station,FR801159,FR801159,1172.624953,1083.015736
166,Commuter Rail,750,FrontRunner,6,2017,SAT,Murray Central Station,FR198021,FR198021,678.9166667,707.3333333
176,Commuter Rail,750,FrontRunner,6,2017,WKD,Murray Central Station,FR198021,FR198021,1741.783442,1783.272502
182,Commuter Rail,750,FrontRunner,6,2017,SAT,North Temple Station,FR198030,FR198030,815.25,780.5833333
174,Commuter Rail,750,FrontRunner,6,2017,WKD,North Temple Station,FR198030,FR198030,2498.791218,2518.842766
181,Commuter Rail,750,FrontRunner,6,2017,SAT,Ogden Central Station,FR601084,FR601084,842.5833333,885.25
177,Commuter Rail,750,FrontRunner,6,2017,WKD,Ogden Central Station,FR601084,FR601084,1323.411062,1506.504891
163,Commuter Rail,750,FrontRunner,6,2017,SAT,Orem Central Station,FR801163,FR801163,405.8333333,392.1666667
169,Commuter Rail,750,FrontRunner,6,2017,WKD,Orem Central Station,FR801163,FR801163,1077.387106,1038.320636
173,Commuter Rail,750,FrontRunner,6,2017,WKD,Pleasant View Station,FR601083,FR601083,41.64411028,37.39226475
167,Commuter Rail,750,FrontRunner,6,2017,SAT,Provo Central Station,FR801164,FR801164,842,986.9166667
186,Commuter Rail,750,FrontRunner,6,2017,WKD,Provo Central Station,FR801164,FR801164,1771.657094,1793.904128
161,Commuter Rail,750,FrontRunner,6,2017,SAT,Roy Station,FR601085,FR601085,243,201.25
157,Commuter Rail,750,FrontRunner,6,2017,WKD,Roy Station,FR601085,FR601085,445.4158711,409.9675974
164,Commuter Rail,750,FrontRunner,6,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1015.166667,980
171,Commuter Rail,750,FrontRunner,6,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1885.801321,2091.276675
184,Commuter Rail,750,FrontRunner,6,2017,SAT,South Jordan Station,FR198023,FR198023,221.3333333,208
160,Commuter Rail,750,FrontRunner,6,2017,WKD,South Jordan Station,FR198023,FR198023,746.8237319,725.4013189
170,Commuter Rail,750,FrontRunner,6,2017,SAT,Woods Cross Station,FR301085,FR301085,244.75,238.5
172,Commuter Rail,750,FrontRunner,6,2017,WKD,Woods Cross Station,FR301085,FR301085,558.5352436,509.9047736
214,Commuter Rail,750,FrontRunner,7,2017,SAT,American Fork Station,FR801160,FR801160,228.2857143,220.4285714
193,Commuter Rail,750,FrontRunner,7,2017,WKD,American Fork Station,FR801160,FR801160,832.2519216,731.5620184
202,Commuter Rail,750,FrontRunner,7,2017,SAT,Clearfield Station,FR301081,FR301081,258.8571429,257.4285714
205,Commuter Rail,750,FrontRunner,7,2017,WKD,Clearfield Station,FR301081,FR301081,754.9649546,702.2642018
196,Commuter Rail,750,FrontRunner,7,2017,SAT,Draper Station,FR198022,FR198022,168.4285714,140.7142857
208,Commuter Rail,750,FrontRunner,7,2017,WKD,Draper Station,FR198022,FR198022,691.9179252,671.3865787
189,Commuter Rail,750,FrontRunner,7,2017,SAT,Farmington Station,FR301084,FR301084,422.2857143,378.8571429
191,Commuter Rail,750,FrontRunner,7,2017,WKD,Farmington Station,FR301084,FR301084,738.9036018,733.3216952
207,Commuter Rail,750,FrontRunner,7,2017,SAT,Layton Station,FR301082,FR301082,276.7142857,276
194,Commuter Rail,750,FrontRunner,7,2017,WKD,Layton Station,FR301082,FR301082,743.6145353,700.3116588
204,Commuter Rail,750,FrontRunner,7,2017,SAT,Lehi Station,FR801159,FR801159,279.7142857,287
190,Commuter Rail,750,FrontRunner,7,2017,WKD,Lehi Station,FR801159,FR801159,1146.644104,1064.500378
199,Commuter Rail,750,FrontRunner,7,2017,SAT,Murray Central Station,FR198021,FR198021,596.8571429,590.7142857
188,Commuter Rail,750,FrontRunner,7,2017,WKD,Murray Central Station,FR198021,FR198021,1750.576178,1755.479025
200,Commuter Rail,750,FrontRunner,7,2017,SAT,North Temple Station,FR198030,FR198030,732.7142857,670.7142857
209,Commuter Rail,750,FrontRunner,7,2017,WKD,North Temple Station,FR198030,FR198030,2444.006187,2432.846066
206,Commuter Rail,750,FrontRunner,7,2017,SAT,Ogden Central Station,FR601084,FR601084,705.7142857,708.8571429
203,Commuter Rail,750,FrontRunner,7,2017,WKD,Ogden Central Station,FR601084,FR601084,1240.264547,1387.665383
195,Commuter Rail,750,FrontRunner,7,2017,SAT,Orem Central Station,FR801163,FR801163,382.7142857,365.1428571
216,Commuter Rail,750,FrontRunner,7,2017,WKD,Orem Central Station,FR801163,FR801163,1072.897432,1010.463202
198,Commuter Rail,750,FrontRunner,7,2017,WKD,Pleasant View Station,FR601083,FR601083,33.55843653,35.54689112
211,Commuter Rail,750,FrontRunner,7,2017,SAT,Provo Central Station,FR801164,FR801164,857.4285714,1045.857143
197,Commuter Rail,750,FrontRunner,7,2017,WKD,Provo Central Station,FR801164,FR801164,1753.582503,1846.766049
212,Commuter Rail,750,FrontRunner,7,2017,SAT,Roy Station,FR601085,FR601085,194.1428571,185.1428571
201,Commuter Rail,750,FrontRunner,7,2017,WKD,Roy Station,FR601085,FR601085,447.8231645,418.8618391
210,Commuter Rail,750,FrontRunner,7,2017,SAT,Salt Lake Central Station,FR101393,FR101393,814.5714286,798
192,Commuter Rail,750,FrontRunner,7,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1880.699792,2091.852679
187,Commuter Rail,750,FrontRunner,7,2017,SAT,South Jordan Station,FR198023,FR198023,220.7142857,198.2857143
217,Commuter Rail,750,FrontRunner,7,2017,WKD,South Jordan Station,FR198023,FR198023,719.7838785,701.3966112
215,Commuter Rail,750,FrontRunner,7,2017,SAT,Woods Cross Station,FR301085,FR301085,201.5714286,217.2857143
213,Commuter Rail,750,FrontRunner,7,2017,WKD,Woods Cross Station,FR301085,FR301085,534.0495498,501.8514249
239,Commuter Rail,750,FrontRunner,8,2017,SAT,American Fork Station,FR801160,FR801160,313.5,276.75
227,Commuter Rail,750,FrontRunner,8,2017,WKD,American Fork Station,FR801160,FR801160,947.9654868,840.7749907
226,Commuter Rail,750,FrontRunner,8,2017,SAT,Clearfield Station,FR301081,FR301081,305.5,275.25
220,Commuter Rail,750,FrontRunner,8,2017,WKD,Clearfield Station,FR301081,FR301081,827.028445,785.8946103
246,Commuter Rail,750,FrontRunner,8,2017,SAT,Draper Station,FR198022,FR198022,172.5,154
233,Commuter Rail,750,FrontRunner,8,2017,WKD,Draper Station,FR198022,FR198022,775.5791129,770.9169188
224,Commuter Rail,750,FrontRunner,8,2017,SAT,Farmington Station,FR301084,FR301084,491.75,470.25
225,Commuter Rail,750,FrontRunner,8,2017,WKD,Farmington Station,FR301084,FR301084,712.5529528,701.6860785
230,Commuter Rail,750,FrontRunner,8,2017,SAT,Layton Station,FR301082,FR301082,312.5,302
231,Commuter Rail,750,FrontRunner,8,2017,WKD,Layton Station,FR301082,FR301082,788.368451,732.5039754
232,Commuter Rail,750,FrontRunner,8,2017,SAT,Lehi Station,FR801159,FR801159,316,303.75
243,Commuter Rail,750,FrontRunner,8,2017,WKD,Lehi Station,FR801159,FR801159,1232.418896,1162.722713
234,Commuter Rail,750,FrontRunner,8,2017,SAT,Murray Central Station,FR198021,FR198021,721.75,747.75
