Stop,Ridership,Downtown
500 E / 300 S,48,0
5400 S / Warrior Way,48,0
700 W / Carlisle St,48,0
3900 S @ 301 E,48,0
900 E / 4750 S,48,0
Services for the Deaf and Visually ,47,0
200 S / 300 E,47,0
Redwood Rd / Parkway Blvd,47,0
3500 S / Decker Lake Dr,46,0
1950 W @ 299 N,46,0
California Ave / Emery St,46,0
South Temple / 1300 E / T St,46,0
Winchester St / State St,46,0
600 N / 1200 W,45,0
Fort Union Blvd @ 885 E,45,0
Redwood Rd / California Ave,45,0
200 S / 800 E,45,0
3500 S / 4400 W,44,0
3900 S @ 1275 E,44,0
3300 S @ 87 W,44,0
2100 E / 2100 S,43,0
500 E / 3700 S,43,0
900 E / 1700 S,43,0
State St @ 510 S,43,0
200 S / 400 E,43,0
500 E / 4100 S,42,0
South Salt Lake City Station,42,0
200 S / 600 E,42,0
3300 S / 1100 W,41,0
Creekside (Up),41,0
900 E / 800 S,41,0
3300 S @ 2285 E,41,0
Redwood Rd @ 5375 S,41,0
5400 S / 5600 W,41,0
3500 S / 3200 W,40,0
900 W / 400 S,40,0
State St @ 5223 S,40,0
Redwood Rd / 1800 S,40,0
400 S / 500 E,40,0
Chipeta Way / Colorow Way,40,0
3600 W / 3500 S,39,0
State St @ 820 S,39,0
900 S / 1000 E,39,0
500 E / 600 S,39,0
Big Cottonwood Canyon P+R (Up),39,0
Komas Dr @ 542 S,39,0
3300 S @ 3127 E,39,0
500 E / 900 S,39,0
900 S / 600 E,38,0
3300 S @ 298 E,38,0
900 S / 1100 E,38,0
State St @ 4801 S,38,0
500 S / VA Hospital,38,0
5400 S / 3200 W,37,0
2100 S / 200 E,37,0
900 W / California Ave,37,0
4015 W @ 5345 S,37,0
500 E / 4500 S,37,0
3300 S @ 225 E,37,0
State St @ 2705 S,37,0
Wakara Way / Komas Dr,37,0
700 N / Redwood Rd,37,0
Redwood Rd / 4150 S,37,0
2100 E / 1300 S,36,0
4700 S @ 3989 W,36,0
Draper Town Center Station,36,0
3900 S @ 2355 E,36,0
100 S / University St,36,0
400 S / Navajo St,35,0
3300 S @ 874 E,35,0
Redwood Rd @ 4450 S,35,0
Redwood Rd @ 6987 S,35,0
900 S / 300 E,35,0
1000 N / 900 W,35,0
3500 S / Pioneer Pkwy,35,0
500 E / 1300 S,35,0
State St @ 2979 S,35,0
900 E / 1300 S,35,0
1300 E @ 896 S,34,0
3900 S @ 85 E,34,0
3900 S @ 510 E,34,0
4500 S @ 877 E,34,0
Magna Library,34,0
State St @ 1495 S,34,0
Meadowbrook Expwy @ 1285 W,34,0
100 S / 400 E,33,0
5400 S / 5160 W,33,0
Redwood Rd / 5225 S,33,0
900 W / 800 S,33,0
Redwood Rd / 3400 S,32,0
1820 S / Bangerter Hwy,32,0
State St @ 2775 S,32,0
3300 S @ 198 E,32,0
3100 S / 8620 W,32,0
900 S / 800 E,32,0
3300 S @ 3301 E,32,0
State St @ 1285 S,31,0
Cottonwood Corporate Center,31,0
1460 W / North Temple,31,0
5400 S / Hew Wood Dr,31,0
900 S / 400 E,31,0
3300 S @ 1385 E,31,0
900 E / 200 S,31,0
Atherton Dr @ 834 W,31,0
3600 W / 3100 S,31,0
Redwood Rd / 2100 S,31,0
1000 N / Jordan River Pkwy,31,0
2100 S / 1200 E,30,0
Foothill Dr @ 2245 S,30,0
Meadowbrook Expwy @ 831 W,30,0
3900 S @ 1567 E,30,0
Murray Holladay Rd @ 1725 E,30,0
Navajo St / Arapahoe Ave,30,0
900 S / 700 E,30,0
900 E / Hollywood Ave,30,0
Redwood Rd / 3100 S,30,0
900 E / 2700 S,30,0
Navajo St / Glendale Dr,30,0
Redwood Rd / 4000 S,30,0
900 W / 600 N,29,0
State St @ 2712 S,29,0
4700 S @ 1685 W,29,0
500 E / Herbert Ave,29,0
Harold Gatty Dr @ 5575 W,29,0
Redwood Rd / 7800 S,29,0
500 S @ 1090 E,29,0
3500 S / 1950 W,29,0
Redwood Rd / 1900 S,29,0
900 W / 900 N,29,0
500 E / S-Line,29,0
South Temple / 150 W,29,0
2100 S / 1900 E,29,0
State St @ 3980 S,29,0
Redwood Rd @ 4140 S,29,0
900 W / 200 N,29,0
State St @ 1280 S,28,0
900 E / South Temple,28,0
1000 N / American Beauty Dr,28,0
Winchester St / 900 E,28,0
3500 S @ 1685 W,28,0
4500 S / Atwood Blvd,28,0
3300 S @ 1 E,28,0
Magna Post Office,28,0
4500 S @ 930 E,28,0
Redwood Rd / 3860 S,28,0
Fort Union Blvd @ 32 E,27,0
State St @ 604 S,27,0
State St @ 3063 S,27,0
2100 S / 800 E,27,0
E St / 3rd Ave,27,0
Redwood Rd / 800 N,27,0
Cottonwood Pkwy @ 2955 E,27,0
South Temple / L St,27,0
2100 S / 300 E,27,0
3600 W / 2150 S,27,0
Redwood Rd @ 4175 S,27,0
Redwood Rd @ 2470 S,27,0
3500 S @ 1720 W,27,0
500 E / 800 S,27,0
State St @ 777 S,27,0
900 E / 3800 S,26,0
4700 S @ 2691 W,26,0
Guardsman Way / 600 S,26,0
900 E / College St,26,0
1300 E @ 673 S,26,0
900 E / Winchester St,26,0
State St @ 5131 S,26,0
1700 S / Redwood Rd,26,0
100 S / 600 E,26,0
3300 S @ 315 E,26,0
500 E / 1700 S,26,0
E St / South Temple,26,0
North Campus / Federal Heights,26,0
9th Ave / LDS Hospital,26,0
Redwood Rd / 200 N,26,0
2100 E / Laird Ave,25,0
3900 S @ 110 E,25,0
5400 S / 4620 W,25,0
3300 S @ 1 W,25,0
900 E / 3600 S,25,0
State St @ 3094 S,25,0
900 W / 300 N,25,0
Fort Union Blvd @ 985 E,25,0
Redwood Rd / Indiana Ave,25,0
Northstar Dr / Redwood Rd,25,0
3300 S @ 2035 E,25,0
3500 S / Callao Dr,24,0
Redwood Rd / 2320 S,24,0
E St / 5th Ave,24,0
3500 S / Montclair St,24,0
1000 N / 1200 W,24,0
900 E / 700 S,24,0
State St @ 4035 S,24,0
3500 S / 1500 W,24,0
Redwood Rd @ 1695 S,24,0
1300 E @ 5755 S,24,0
State St @ 1050 S,24,0
2100 E / Bryan Ave,24,0
900 E / 500 S,23,0
Redwood Rd @ 1298 S,23,0
900 E / Parkway Ave,23,0
Navajo St / 1000 S,23,0
3300 S @ 1298 E,23,0
State St @ 5905 S,23,0
600 N / 1400 W,23,0
900 E / 5400 S,23,0
500 E / 700 S,23,0
1940 W North Temple St,23,0
400 S / 400 E,23,0
Navajo St / 500 S,22,0
900 E / Browning Ave,22,0
State St @ 857 S,22,0
4500 S @ 534 W,22,0
3030 W / 3500 S,22,0
600 N / 900 W,22,0
4800 West Station,22,0
3500 S / 6800 W,22,0
State St @ 1912 S,22,0
3900 S @ 298 E,22,0
Meadowbrook Expwy. @ 1320 W,22,0
2100 S / 1500 E,22,0
6200 S @ 3709 W,22,0
State St @ 1925 S,22,0
State Capitol east entrance,22,0
Redwood Rd / 500 S,22,0
Redwood Road / 4600 S,22,0
4000 W @ 4600 S,21,0
Redwood Rd / 3750 S,21,0
5400 S / 4420 W,21,0
North Temple St @ 1948 W,21,0
Redwood Rd / 1100 S,21,0
3900 S @ 401 E,21,0
1300 S / 700 W,21,0
Winchester St / 300 E,21,0
Redwood Rd @ 1916 S,21,0
1300 E @ 875 S,21,0
2100 E / St. Mary's Dr,20,0
500 E / 2700 S,20,0
900 E / Bryan Ave,20,0
Copper City Dr / Borax Ave,20,0
Carlisle St / 700 W,20,0
5400 S / 3600 W,20,0
900 E / Eastgate Rd,20,0
5400 S / Cougar Ln,20,0
Highland Dr @ 7069 S,20,0
900 W / 1650 S,20,0
2100 S / Main St,19,0
3500 S / 4300 W,19,0
3100 S / 9100 W,19,0
Redwood Rd @ 7769 S,19,0
900 E / 300 S,19,0
Redwood Rd. / 4800 S,19,0
3300 S @ 701 E,19,0
Atherton Dr @ 833 W,19,0
Redwood Rd @ 10341 S,19,0
Redwood Rd @ 3385 S,19,0
State St @ 3620 S,19,0
Highland Dr @ 3330 S,19,0
900 W / 3400 S,19,0
900 E / 100 S,19,0
Redwood Rd / 4600 S,19,0
Redwood Rd @ 5652 S,19,0
1300 E @ 3310 S,19,0
4700 S @ 4855 W,18,0
Redwood Rd @ 5201 S,18,0
Redwood Rd / 900 N,18,0
900 S / Main St,18,0
Foothill Dr @ 1707 S,18,0
3900 S @ 677 E,18,0
Wakara Way / Chipeta Way,18,0
1300 E @ 2185 S,18,0
Redwood Rd @ 552 S,18,0
1300 E @ 3315 S,18,0
Wakara Way / Arapeen Dr,18,0
3200 W / North Frontage Rd,18,0
Vine St / Commerce Dr,18,0
Centennial Pkwy @ 10255 S,17,0
3500 S / 8150 W,17,0
4700 S @ 3587 W,17,0
Highland Dr @ 4745 S,17,0
State St @ 2968 S,17,0
900 W / 400 N,17,0
State St @ 1791 S,17,0
3300 S @ 981 W,17,0
3300 S @ 1101 E,17,0
2100 E / 1700 S,17,0
500 E / Ramona Ave,17,0
300 W / 400 N,17,0
Northstar Dr / Cornell St,17,0
Lodestone Ave / Copper City Dr,17,0
Redwood Rd @ 4433 S,17,0
800 W / 700 S,17,0
4015 W @ 5470 S,17,0
4500 S @ 685 E,17,0
Redwood Rd / 4700 S,17,0
5400 S / 2200 W,16,0
Main St / 4500 S,16,0
3500 S / 5200 W,16,0
1300 W / Wasatch Ave,16,0
Murray Blvd @ 4948 S,16,0
Bruin Blvd @ 2101 W,16,0
Wakara Way / 400 S,16,0
State St @ 3451 S,16,0
Atherton Dr @ 4435 S,16,0
3900 S @ 1167 E,16,0
Mario Capecchi / Research Rd,16,0
1300 E @ 3849 S,16,0
North Temple St / Redwood Rd,16,0
3100 S / 8800 W,16,0
900 E / Stratford Ave,16,0
Sandy Civic Center Station,16,0
500 S @ 1115 E,16,0
3500 S / 6000 W,16,0
Magna Main St / 9040 W,16,0
Redwood Rd @ 4540 S,16,0
900 W / 500 N,16,0
Sugar Factory Road Station,16,0
Redwood Rd @ 3745 S,16,0
1300 S / 400 W,15,0
4015 W @ 4746 S,15,0
C St / 8th Ave,15,0
South Temple / 350 W,15,0
Winchester St / 700 E,15,0
4500 S @ 530 E,15,0
3300 S @ 1225 E,15,0
3rd Ave / I St,15,0
4000 W @ 4537 S,15,0
1300 E @ 3946 S,15,0
4500 S @ 1285 E,15,0
900 E / Vine St south,15,0
2100 E / Wilson Ave,15,0
Atherton Dr @ 4440 S,15,0
Fort Union Blvd @ 1991 E,15,0
Highland Dr @ 4830 S,15,0
State St @ 4540 S,15,0
Redwood Rd / 1500 S,15,0
1300 E @ 2188 S,15,0
3500 S / Chatterleigh Rd,15,0
1300 E @ 6845 S,15,0
1300 E @ 2078 S,15,0
5400 S / 5425 W,15,0
Snowbird Center,15,0
900 W / 600 S,15,0
Foothill Dr @ 1325 S,15,0
3400 S / 1400 W,14,0
5400 S / 2700 W,14,0
900 E / Garfield Ave,14,0
500 W @ 4558 S,14,0
Little Cottonwood Rd @ 3142 E(P&R),14,0
Redwood Rd. @ 4805 S,14,0
Jordan Landing Blvd @ 7181 S,14,0
Murray Holladay Rd @ 2225 E,14,0
3300 S @ 615 E,14,0
State St @ 3434 S,14,0
3900 S @ 910 E,14,0
3300 S @ 1460 E,14,0
2700 W @ 4345 S,14,0
400 S / Cheyenne St,14,0
1000 N / 1300 W,14,0
4500 S @ 787 E,14,0
500 E / Wendell Dr,14,0
3500 S / Lilloet St,14,0
E St / 6th Ave,14,0
Redwood Rd @ 5480 S,14,0
North Temple St @ 1758 W,14,0
900 S / Richards St,14,0
Redwood Rd @ 3171 S,14,0
1700 S / Wallace Rd,14,0
Glendale Dr / 1300 S,14,0
3500 S / Royal Scott Dr,14,0
3600 W / Parkway Blvd,14,0
State St @ 685 S,14,0
3300 S @ 984 W,14,0
Fort Union Blvd @ 2018 E,14,0
3500 S / 3900 W,14,0
State St @ 4195 S,13,0
4000 W @ 4135 S,13,0
Murray Blvd / 5400 S,13,0
Redwood Rd @ 3860 S,13,0
State St @ 5020 S,13,0
Brighton Store (Down),13,0
Redwood Rd @ 1289 S,13,0
M St / 3rd Ave,13,0
Redwood Rd @ 3973 S,13,0
1300 E @ 5665 S,13,0
900 E / 600 S,13,0
400 S / 700 E,13,0
Mario Capecchi Dr / 1900 E,13,0
Highland Dr @ 6827 S,13,0
1300 E @ 698 S,13,0
State St @ 2510 S,13,0
1300 E @ 525 S,13,0
1700 S / Industrial Rd,13,0
1300 E @ 544 S,13,0
1300 E @ 3179 S,13,0
3900 S @ 30 E,13,0
South Temple / 900 E / N St,13,0
2100 S / West Temple,13,0
1300 E @ 4765 S,13,0
1300 E @ 1969 S,13,0
State St / 1st Ave,13,0
6200 S @ 3809 W,13,0
Constitution Blvd @ 3662 S,13,0
900 E / Hillview Dr,13,0
Redwood Rd / 4075 S,13,0
Chipeta Way / Tabby Ln,13,0
State St @ 1120 S,13,0
4700 S @ 4655 W,13,0
State St @ 2810 S,13,0
3650 S / 3100 W,13,0
Murray Blvd / Allendale Dr,13,0
2100 S / 1600 W,13,0
Redwood Rd @ 860 S,12,0
Highland Dr @ 3233 S,12,0
3300 S @ 1847 E,12,0
3500 S / 6555 W,12,0
State St @ 1029 S,12,0
1300 E @ 401 S,12,0
Jordan Landing Blvd. @ 7586 S,12,0
State St @ 4949 S,12,0
7200 S @ 90 W,12,0
Highland Dr @ 3910 S,12,0
4700 S @ 1531 W,12,0
Winchester St / 640 E,12,0
4700 S @ 3189 W,12,0
3500 S / Oquirlane St,12,0
4000 W @ 4359 S,12,0
4000 W @ 4122 S,12,0
Highland Dr @ 7050 S,12,0
3300 S @ 680 E,12,0
Main St / 200 N,12,0
Foothill Dr @ 2135 S,12,0
3300 S @ 801 E,12,0
400 S @ 918 W,12,0
State St @ 5270 S,12,0
Redwood Rd / 2700 S,12,0
900 E / Wilson Ave,12,0
Meadowbrook Expwy @ 1151 W,12,0
4700 S @ 4505 W,12,0
Redwood Rd @ 2499 S,12,0
3100 S / 8400 W,11,0
Highland Dr @ 4435 S,11,0
