station,Ridership,Downtown
North Temple Bridge/Guadalupe,876,0
Daybreak Parkway Station,922,0
Bingham Junction Station,215,0
Sandy Civic Center Station,283,0
Old Greektown Station,329,1
Murray Central Station,1719,0
Salt Lake Central Station,821,1
Courthouse Station,2807,1
600 South Station,1046,0
Meadowbrook Station,808,0
Kimballs Lane Station,115,0
West Jordan City Center Station,349,0
Redwood Junction Station,405,0
University Medical Center,1015,0
Stadium Station,1622,0
Central Pointe Station,3005,0
4800 W. Old Bingham Hwy Station,293,0
River Trail Station,193,0
Planetarium Station,495,1
Gallivan Plaza Station,1256,1
Midvale Fort Union Station,542,0
South Jordan Parkway Station,133,0
Arena Station,1634,1
1940 W. North Temple Station,812,0
900 East Station,607,0
700 East Station,131,0
900 South Station,1108,0
Temple Square Station,558,1
Historic Sandy Station,428,0
Jordan Valley Station,292,0
MRSC OPERATOR RELIEF,6,0
Power Station,520,0
Sugarmont Station,128,0
Draper Town Center Station,445,0
Midvale Center Station,384,0
2700 W. Sugar Factory Rd Station,181,0
Ballpark Station,1662,0
Historic Gardner Station,110,0
500 East Station,102,0
JORDAN RIVER SERVICE CENTER RELIEF,3,0
Crescent View Station,226,0
Jackson/Euclid Station,798,0
Murray North Station,581,0
300 East Station,97,0
University South Campus Station,870,0
City Center Station,1820,1
Library Station,992,1
Millcreek Station,1044,0
South Salt Lake City Station,148,0
Airport Station,1145,0
5600 W. Old Bingham Hwy Station,100,0
Trolley Station,1242,0
Sandy Expo Station,140,0
Fort Douglas Station,724,0
Fairmont Station,309,0
Fairpark Station,140,0
Fashion Place West Station,1176,0
West Valley Central Station,1236,0
Decker Lake Station,234,0
