Stop,Ridership,Downtown
2300 E @ 6607 S,2,0
2100 S / 700 E,33,0
900 E / Rowley Dr,0,0
400 S / Navajo St,16,0
M St / 4th Ave,4,0
4700 S @ 1176 W,3,0
Murray Blvd @ 5026 S,1,0
500 E / Bridlewood Dr,6,0
2000 E @ 3082 S,0,0
6200 S @ 3816 W,7,0
900 E / College St,9,0
1730 S @ 5077 W,1,0
900 E / Vine St north,4,0
6200 S @ 2210 E,0,0
M St / 1st Ave,12,0
500 S @ 1115 E,14,0
2700 W @ 4998 S,0,0
4700 S @ 3989 W,43,0
2100 E @ 1897 S,19,0
Monroe St @ 8274 S,0,0
2700 W @ 5901 S,2,0
Redwood Rd / 700 N,57,0
Grizzly Way @ 7981 S,2,0
Wasatch Blvd @ 3305 S,2,0
Foothill Dr @ 1350 S,2,0
3900 S @ 2574 E,0,0
4100 S @ 4528 W,0,0
State St @ 3620 S,10,0
Cougar Ln @ 6865 S,2,0
5400 S / 3600 W,15,0
Winchester St / Malstrom Ln,1,0
3100 S / 8620 W,5,0
3200 W @ 7640 S,0,0
200 S / 300 W,175,1
2200 W @ 1201 N,0,0
State St @ 3330 S,46,0
2200 W @ 4519 S,13,0
Catherine St @ 513 N ,2,0
2100 E @ 1492 S,2,0
Monroe St @ 8754 S,1,0
3200 W @ 3850 S,0,0
State St @ 3063 S,29,0
North Temple @ 1293 W,0,0
State St @ 2705 S,29,0
2100 S / 1100 E,76,0
Fort Union Blvd @ 2841 E,0,0
900 E / 3800 S,15,0
Fort Union Blvd @ 2335 E,10,0
E St / 8th Ave,2,0
4800 W @ 5846 S,0,0
1500 W @ 1149 N,0,0
4000 W @ 8140 S,0,0
500 E / Millcreek Way,17,0
American Beauty Dr @ 1201 N,5,0
1700 S @ 87 W,4,0
3900 S @ 1200 E,4,0
Bennion Blvd @ 2899 W,1,0
Foothill Dr @ 2235 S,0,0
2300 E @ 4657 S,16,0
6th Ave / K St,8,0
700 E @ 601 S,0,0
Amelia Earhart Dr @ 5191 W,1,0
Redwood Rd @ 9304 S,1,0
1300 E @ 5656 S,0,0
800 S / 300 E,31,0
4000 W @ 5860 S,1,0
10000 S / Centennial Pkwy,2,0
3200 W @ 6398 S,0,0
Little Cottonwood Rd @ 3142 E(P&R),25,0
700 E @ 4455 S,3,0
900 E / 4650 S,51,0
1300 E @ 4389 S,11,0
Vine St @ 79 W,4,0
North Temple St @ 2375 W,0,0
