Stop,Ridership,Downtown
Foothill Dr @ 2245 S,38,0
Redwood Rd / 1100 S,38,0
500 E / 600 S,38,0
Redwood Rd / Indiana Ave,38,0
4500 S / State St,37,0
Redwood Rd / 7800 S,37,0
900 W / 400 S,37,0
3300 S / State St,37,0
5400 S / 5600 W,36,0
Little Cottonwood Rd @ 3142 E(P&R),36,0
Draper Town Center Station,36,0
1820 S / Bangerter Hwy,35,0
1700 S / Redwood Rd,35,0
Northstar Dr / Redwood Rd,35,0
Big Cottonwood Canyon P+R (Down),35,0
Fort Union Blvd @ 885 E,35,0
4015 W @ 5345 S,35,0
900 E / 800 S,35,0
Chipeta Way / Colorow Way,34,0
900 S / 600 E,34,0
900 S / 700 E,34,0
1940 W North Temple St,34,0
700 N / Redwood Rd,34,0
3300 S / 1100 W,34,0
3300 S @ 1 E,34,0
Redwood Rd / 3860 S,34,0
500 E / 4100 S,34,0
State St @ 820 S,34,0
Redwood Rd / 3100 S,34,0
400 S / 500 E,33,0
3100 S / 8620 W,33,0
900 W / California Ave,33,0
3900 S @ 1567 E,33,0
State St @ 2705 S,33,0
500 E / 1300 S,33,0
3300 S / 2000 E,33,0
3500 S / 6400 W,33,0
State St @ 4801 S,33,0
900 S / 800 E,33,0
Fort Union Blvd @ 2018 E,33,0
Redwood Rd / 4600 S,32,0
900 E / 500 S,32,0
South Temple / L St,32,0
State St @ 2979 S,32,0
4500 S @ 877 E,32,0
Meadowbrook Expwy @ 1285 W,32,0
State St @ 510 S,32,0
3300 S / Metropolitan Way,32,0
3500 S / Pioneer Pkwy,32,0
3900 S @ 301 E,32,0
2100 S / 200 E,32,0
4700 S @ 1685 W,31,0
2100 S / 300 E,31,0
900 W / 600 N,31,0
1300 E @ 896 S,31,0
900 E / 2700 S,31,0
Winchester St / 900 E,31,0
900 E / South Temple,31,0
State St @ 1285 S,31,0
3900 S @ 85 E,31,0
Snowbird Center,30,0
Magna Library,30,0
Redwood Rd. / 4800 S,30,0
2100 S / 1200 E,30,0
900 W / 900 N,30,0
Redwood Rd / 2320 S,30,0
